,0,1,2,3,4
397,Pouma,Arrondissement,...,"13,475",
398,Vallée-du-Ntem,Department,"42,749","79,182",
399,Ambam,Arrondissement,...,"41,089",
400,Kyé-Ossi,Arrondissement,...,"17,117",
401,Ma'an,Arrondissement,...,"12,448",
402,Olamze,Arrondissement,...,"8,528",
403,Vina,Department,"169,317","317,888",
404,Belel,Arrondissement,...,"37,663",
405,Martap,Arrondissement,...,"24,815",
406,Mbe,Arrondissement,...,"17,478",
407,Nganha,Arrondissement,...,"28,443",
408,Ngaoundéré I,City Arrondissement,...,"78,277",
409,Ngaoundéré II,City Arrondissement,...,"84,959",
410,Ngaoundéré III,City Arrondissement,...,"17,527",
411,Nyambaka,Arrondissement,...,"28,726",
412,Wouri,Department,"834,471","1,931,977",
413,Douala I,City Arrondissement,...,"223,214",
414,Douala II,City Arrondissement,...,"261,407",
415,Douala III,City Arrondissement,...,"646,347",
416,Douala IV,City Arrondissement,...,"250,626",
417,Douala V,City Arrondissement,...,"544,919",
418,Douala VI,City Arrondissement,...,"5,464",
419,Cameroun [ Cameroon ],Republic,"10,493,655","17,463,836",
