dataset,area,project_name,developer,Google Pin Location,land_size_acres,project_status,start_year,completion_year,number_of_bedrooms,typology,unit_plinth_area_sqm,total_units,number_units_per_acre,Year Data Valid, Unit Price, price_per_sqm, Rent per Month,rent_per_sqm,service_charge,"Mortgage Installments (90%present value, 20years tenor, 15% interest rate)",mortgage_installments, mortgage_to_rent_ratio,occupancy,annual_uptake,"Projected Yield assuming 90% occupancy rate, 6% stamp duty",Source
Developer,Dagoretti,Natureville Valley Apartments,Natureville,"-1.27404, 36.73427",,Complete,2017,2019,1,Apartments,40,2,,2019,,  -   ,,  -   ,,,,,,,,
Developer,Dagoretti,Natureville Valley Apartments,Natureville,"-1.27404, 36.73427",,Complete,2017,2019,2,Apartments,80,23,,2019,"  4,900,000 ","  61,250 ",,  -   ,,"Ksh58,070.42",,,,,,
NMDA,Dagoretti,Natureville Valley Apartments,Natureville,"-1.27404, 36.73427",,Complete,2017,2019,1,Apartments,41,2,,2021,,  -   ,"  20,000 ",  488 ,,,,  -   ,,,,
NMDA,Dagoretti,Natureville Valley Apartments,Natureville,"-1.27404, 36.73427",,Complete,2017,2019,2,Apartments,80,23,,2021,"  7,250,000 ","  90,625 ","  37,000 ",  463 ,,"Ksh85,920.52",,  2.3 ,96%,24%,5%,
Developer,Athi River,NHC Stone Athi View,National Housing Corporation,"-1.44502, 37.00869",,Complete,,2018,1,Apartments,35,50,,2019,,  -   ,"  9,000 ",  257 ,,,,  -   ,,,,
Developer,Athi River,NHC Stone Athi View,National Housing Corporation,"-1.44502, 37.00869",,Complete,,2018,1,Maisonette,45,100,,2019,,  -   ,"  11,500 ",  256 ,,,,  -   ,,,,
Developer,Athi River,NHC Stone Athi View,National Housing Corporation,"-1.44502, 37.00869",,Complete,,2018,2,Maisonette,55,10,,2019,,  -   ,"  16,500 ",  300 ,,,,  -   ,,,,
Neighborhood,Athi River,NHC Stone Athi View,National Housing Corporation,"-1.44502, 37.00869",,Complete,,2018,4,Maisonette,139,41,,2019,"  8,750,000 ","  62,950 ","  28,000 ",  201 ,3000,"Ksh103,697.18",103697.1796,  3.7 ,,,3%,
Neighborhood,Athi River,NHC Stone Athi View,National Housing Corporation,"-1.44502, 37.00869",,Complete,,2018,4,Maisonette,153,12,,2019,"  8,850,000 ","  57,843 ","  30,000 ",  196 ,3000,"Ksh104,882.29",104882.2903,  3.5 ,,,3%,
Neighborhood,Athi River,NHC Stone Athi View,National Housing Corporation,"-1.44502, 37.00869",,Complete,,2018,4,Maisonette,164,19,,2019,"  9,750,000 ","  59,451 ","  35,000 ",  213 ,3000,"Ksh115,548.29",115548.2859,  3.3 ,,,4%,
Neighborhood,Ruiru,Oak Ridge Estate,Banda Homes,"-1.06091, 36.92265",,Stalled,,,3,Bungalows,135,45,37.5,2019,"  4,250,000 ","  31,481 ","  30,000 ",  222 ,3000,"Ksh50,367.20",47569.02367,  1.7 ,,,7%,
Neighborhood,Juja,Oak Wood Estate,Banda Homes,"-1.04988, 36.95458",,Stalled,,,3,Bungalows,138,50,62.5,2019,"  5,500,000 ","  39,855 ","  30,000 ",  217 ,3000,"Ksh65,181.08",61559.91299,  2.2 ,,,6%,
NMDA,Syokimau,Olonyori Apartments,Heritans Limited,"-1.37710, 36.93880",,Complete,2012,,2,Apartments,90,240,,2021,"  6,700,000 ","  74,444 ","  30,000 ",  333 ,,"Ksh79,402.41",,  2.6 ,76%,7%,5%,
Neighborhood,Syokimau,Olonyori Apartments,Heritans Limited,"-1.37710, 36.93880",,Complete,2012,,2,Apartments,90,240,,2019,"  5,500,000 ","  61,111 ","  28,000 ",  311 ,3000,"Ksh65,181.08",65181.08434,  2.3 ,,,5%,
