area,Country,project_name,developer,Google Pin Location,number_of_bedrooms,typology,unit_plinth_area_sqm,total_units, Unit Price, price_per_sqm, Rent per Month,rent_per_sqm,service_charge,"Mortgage Installments (90%present value, 20years tenor, 15% interest rate)",mortgage_installments, mortgage_to_rent_ratio,"Projected Yield assuming 90% occupancy rate, 6% stamp duty"
Kilimani,Kenya,Victoria Pearl,Cytonn Real Estate,"-1.30042, 36.80063",2,Apartments,120,40,13500000,112500,80000,667,3000,159989.93,151101.6046,2,6
Kilimani,Kenya,Victoria Pearl,Cytonn Real Estate,"-1.30042, 36.80063",3,Apartments,150,40,16500000,110000,90000,600,3000,195543.25,184679.739,2.2,6
Ongata Rongai,Kenya,Vintage Residence,Vector Afriq Properties Ltd,"-1.40136, 36.74545",2,Apartments,115,15,3700000,32174,30000,261,3003,43849.09,123660.884771413,1.5,8
Kileleshwa,Kenya,Vue Claire,Cytonn Real Estate,"-1.28233, 36.78549",2,Apartments,160,18,17500000,109375,120000,750,3003,207394.36,123660.884771413,1.7,7
Kileleshwa,Kenya,Vue Claire,Cytonn Real Estate,"-1.28233, 36.78549",3,Apartments,225,18,24000000,106667,115000,511,3003,284426.55,123660.884771413,2.5,5
Uthiru,Kenya,Waiyaki Ridge Garden,Cytonn Real Estate,"-1.26520, 36.73336",2,Apartments,109,175,10500000,96330,65000,596,3003,124436.62,123660.884771413,1.9,6
Uthiru,Kenya,Waiyaki Ridge Garden,Cytonn Real Estate,"-1.26520, 36.73336",3,Apartments,145,175,11500000,79310,70000,483,3003,136287.72,123660.884771413,1.9,6
Uthiru,Kenya,Waiyaki Ridge Garden,Cytonn Real Estate,"-1.26520, 36.73336",3,Apartments,130,40,12174005.0890585,93429.5354752343,59775.1237623762,488.966974900925,3003,139923.78536802,123660.884771413,2.46908850726552,5
Uthiru,Kenya,Waterfront,Cytonn Real Estate,"-1.26396, 36.73779",3,Apartments,165,18,12000000,72727,65000,394,3003,142213.27,123660.884771413,2.2,6
Athi River,Kenya,Wema Villas,Norwich Union,"-1.43310, 36.98404",3,Maisonette,155,40,14500000,93548,55000,355,3000,171841.04,171841.0405,3.1,4
Athi River,Kenya,Wema Villas,Norwich Union,"-1.43310, 36.98404",4,Maisonette,175,40,15000000,85714,65000,371,3000,177766.59,177766.5936,2.7,4
Lower Kabete,Kenya,West fields,Cytonn Real Estate,"-1.23716, 36.71970",2,Apartments,85,40,21500000,252941,59775.1237623762,488.966974900925,3003,254798.78,123660.884771413,2.46908850726552,5
Kikuyu,Kenya,west point heights,Cytonn Real Estate,"-1.26808, 36.67947",2,Apartments,70,66,7000000,100000,32000,457,3003,82957.74,123660.884771413,2.6,5
South C,Kenya,West Suites,Cytonn Real Estate,"-1.30622, 36.82248",1,Apartments,25,40,4500000,180000,59775.1237623762,488.966974900925,3003,53329.98,123660.884771413,2.46908850726552,5
Lower Kabete,Kenya,Westmont,Cytonn Real Estate,"-1.23562, 36.72903",2,Apartments,80,40,15500000,193750,38000,475,3003,183692.15,123660.884771413,4.8,2
Ruaka,Kenya,Willow Park Homes,Estate Hub,"-1.16647, 36.75564",1,Apartments,65,40,5300000,81538,35000,538,3003,62810.86,123660.884771413,1.8,7
Thindigua,Kenya,Windsor gardens,Kings Pride Properties,"-1.20206, 36.83748",2,Apartments,145,40,7000000,48276,60000,414,3003,82957.74,123660.884771413,1.4,9
Thindigua,Kenya,Windsor View Apartments,Edermann Group Ltd,"-1.20216, 36.83957",1,Apartments,111,20,12174005.0890585,93429.5354752343,25000,488.966974900925,3003,139923.78536802,123660.884771413,2.46908850726552,5
Thindigua,Kenya,Windsor View Apartments,Edermann Group Ltd,"-1.20216, 36.83957",2,Apartments,111,20,12174005.0890585,93429.5354752343,40000,488.966974900925,3003,139923.78536802,123660.884771413,2.46908850726552,5
Thindigua,Kenya,Windsor Villas,Vineyard Properties,"-1.20241, 36.84842",4,Maisonette,147,40,65000000,442263,250000,1701,3000,770321.91,727526.2444,3.1,4
Thindigua,Kenya,Windsor Villas,Vineyard Properties,"-1.20241, 36.84842",5,Maisonette,188,40,68000000,361815,300000,1596,3000,805875.22,761104.3787,2.7,4
Syokimau,Kenya,Zen Ruby Apartments,Zenith Ventures Limited,"-1.38229, 36.92254",1,Apartments,111,40,3000000,93429.5354752343,20000,488.966974900925,3000,35553.32,35553.31873,1.8,7
Syokimau,Kenya,Zen Ruby Apartments,Zenith Ventures Limited,"-1.38229, 36.92254",2,Apartments,111,40,5500000,93429.5354752343,28000,488.966974900925,3000,65181.08,65181.08434,2.3,5
Syokimau,Kenya,Zen Ruby Apartments,Zenith Ventures Limited,"-1.38229, 36.92254",3,Apartments,80,40,6750000,84375,38000,475,3000,79994.97,79994.96714,2.1,6
Ruaka,Kenya,Zuri Ridge Apartments,Delta Homes,"-1.20490, 36.76581",2,Apartments,80,30,8000000,100000,45000,563,3003,94808.85,123660.884771413,2.1,6
Juja,Kenya,Acacia Front Estate,Banda Homes,"-1.08581, 36.97815",3,Bungalows,138,143,5500000,39855,30000,217,3000,65181.08,61559.91299,2.2,6
Thindigua,Kenya,Amana Hills,Karibu Homes,"-1.15500, 36.88782",1,Apartments,33,300,2800000,84848,18000,545,3000,33183.1,31339.59207,1.8,7
Thindigua,Kenya,Amana Hills,Karibu Homes,"-1.15500, 36.88782",2,Apartments,52,40,4160000,80000,23000,442,3000,49300.6,46561.67964,2.1,6
Thindigua,Kenya,Amana Hills,Karibu Homes,"-1.15500, 36.88782",2,Apartments,58,40,4980000,85862,25000,431,3000,59018.51,55739.70303,2.4,5
Thindigua,Kenya,Amana Hills,Karibu Homes,"-1.15500, 36.88782",3,Apartments,93,40,7510000,80753,30000,323,3000,89001.81,84057.263,3,4
Imara Daima,Kenya,Amara park,Cytonn Real Estate,"-1.32468, 36.87570",1,Apartments,54,20,5000000,92593,25000,463,3003,59255.53,123660.884771413,2.4,5
Imara Daima,Kenya,Amara park,Cytonn Real Estate,"-1.32468, 36.87570",3,Apartments,111,20,7500000,93429.5354752343,40000,488.966974900925,3003,88883.3,123660.884771413,2.2,5
Riara,Kenya,Avana Residence,Riara 521 Ltd,"-1.29651, 36.75771",2,Apartments,107,40,11500000,107640,70000,655,3000,136287.72,128716.1817,1.9,6
Syokimau,Kenya,Bella Casa Apartments,Cytonn Real Estate,"-1.43979, 36.98236",2,Apartments,71,120,5000000,70423,30000,423,3000,59255.53,59255.53122,2,6
Syokimau,Kenya,Bella Casa Apartments,Cytonn Real Estate,"-1.43979, 36.98236",3,Apartments,93,120,6900000,74194,35000,376,3000,81772.63,81772.63308,2.3,5
Syokimau,Kenya,Bluebells Gardens Apartments,Safaricom Investment Sacco,"-1.38071, 36.93960",2,Apartments,92,100,6800000,73913,30000,326,3000,80587.52,80587.52245,2.7,4
