,Name,Status,PopulationCensus1991-11-26,PopulationCensus2006-03-21,PopulationProjection2022-03-21,Unnamed: 5
422,Rogo,Local Government Area,...,227607,374300,→
423,Shanono,Local Government Area,84861,139128,228800,→
424,Sumaila,Local Government Area,164242,250379,411800,→
425,Takai,Local Government Area,130007,202639,333300,→
426,Tarauni,Local Government Area,...,221844,364900,→
427,Tofa,Local Government Area,64796,98603,162200,→
428,Tsanyawa,Local Government Area,...,157730,259400,→
429,Tudun Wada,Local Government Area,141288,228658,376100,→
430,Ungogo,Local Government Area,168373,365737,601500,→
431,Warawa,Local Government Area,81666,131858,216900,→
432,Wudil,Local Government Area,...,188639,310300,→
433,Katsina,State,3753133,5801584,10368500,→
434,Bakori,Local Government Area,132936,149516,267200,→
435,Batagarawa,Local Government Area,84864,189059,337900,→
436,Batsari,Local Government Area,143620,207874,371500,→
437,Baure,Local Government Area,...,202941,362700,→
438,Bindawa,Local Government Area,120636,151002,269900,→
439,Charanchi,Local Government Area,...,136989,244800,→
440,Dandume,Local Government Area,...,145323,259700,→
441,Danja,Local Government Area,98524,125481,224300,→
442,Dan Musa,Local Government Area,...,113190,202300,→
443,Daura,Local Government Area,156872,224884,401900,→
444,Dutsi,Local Government Area,...,120902,216100,→
445,Dutsin-Ma,Local Government Area,115790,169829,303500,→
446,Faskari,Local Government Area,...,194400,347400,→
447,Funtua,Local Government Area,...,225156,402400,→
448,Ingawa,Local Government Area,114935,169148,302300,→
449,Jibia,Local Government Area,124731,167435,299200,→
450,Kafur,Local Government Area,136813,209360,374200,→
451,Kaita,Local Government Area,101878,182405,326000,→
452,Kankara,Local Government Area,152748,243259,434700,→
453,Kankia,Local Government Area,...,151395,270600,→
454,Katsina,Local Government Area,223644,318132,568600,→
455,Kurfi,Local Government Area,74020,116700,208600,→
456,Kusada,Local Government Area,...,98348,175800,→
457,Mai'adua,Local Government Area,137976,201800,360700,→
458,Malumfashi,Local Government Area,158338,182891,326900,→
459,Mani,Local Government Area,121889,176301,315100,→
460,Mashi,Local Government Area,...,171070,305700,→
461,Matazu,Local Government Area,74030,113814,203400,→
462,Musawa,Local Government Area,79184,170006,303800,→
463,Rimi,Local Government Area,...,154092,275400,→
464,Sabuwa,Local Government Area,...,140679,251400,→
465,Safana,Local Government Area,...,185207,331000,→
466,Sandamu,Local Government Area,...,136944,244700,→
467,Zango,Local Government Area,...,156052,278900,→
468,Kebbi,State,2068490,3256541,5563900,→
469,Aleiro,Local Government Area,...,67078,114600,→
470,Arewa-Dandi,Local Government Area,137538,189728,324200,→
471,Argungu,Local Government Area,...,200248,342100,→
472,Augie,Local Government Area,...,116368,198800,→
473,Bagudo,Local Government Area,153935,238014,406700,→
474,Birnin Kebbi,Local Government Area,150520,268620,458900,→
475,Bunza,Local Government Area,...,123547,211100,→
476,Dandi,Local Government Area,101919,146211,249800,→
477,Fakai,Local Government Area,...,119772,204600,→
478,Gwandu,Local Government Area,107429,151077,258100,→
479,Jega,Local Government Area,...,197757,337900,→
480,Kalgo,Local Government Area,...,84928,145100,→
481,Koko/Besse,Local Government Area,107170,154818,264500,→
482,Maiyama,Local Government Area,113072,173759,296900,→
483,Ngaski,Local Government Area,68800,126102,215400,→
484,Sakaba,Local Government Area,...,91728,156700,→
485,Shanga,Local Government Area,...,127142,217200,→
486,Suru,Local Government Area,116971,148474,253700,→
487,Wasagu/Danko,Local Government Area,...,265271,453200,→
488,Yauri,Local Government Area,...,100564,171800,→
489,Zuru,Local Government Area,...,165335,282500,→
490,Kogi,State,2147756,3314043,4466800,→
491,Adavi,Local Government Area,157092,217219,292800,→
492,Ajaokuta,Local Government Area,97904,122432,165000,→
493,Ankpa,Local Government Area,...,266176,358800,→
494,Bassa,Local Government Area,88496,139687,188300,→
495,Dekina,Local Government Area,177513,260968,351700,→
496,Ibaji,Local Government Area,...,127572,171900,→
497,Idah,Local Government Area,...,79755,107500,→
498,Igalamela-Odolu,Local Government Area,...,147048,198200,→
499,Ijumu,Local Government Area,66603,118593,159800,→
500,Kabba/Bunu,Local Government Area,...,144579,194900,→
501,Kogi,Local Government Area,82483,115100,155100,→
502,Lokoja,Local Government Area,...,196643,265000,→
503,Mopa-Muro,Local Government Area,...,43760,59000,→
504,Ofu,Local Government Area,108095,191480,258100,→
505,Ogori/Magongo,Local Government Area,...,39807,53700,→
506,Okehi,Local Government Area,146264,223574,301300,→
507,Okene,Local Government Area,...,325623,438900,→
508,Olamaboro,Local Government Area,104705,158490,213600,→
509,Omala,Local Government Area,...,107968,145500,→
510,Yagba East,Local Government Area,88780,147641,199000,→
511,Yagba West,Local Government Area,76936,139928,188600,→
512,Kwara,State,1548412,2365353,3551000,→
513,Asa,Local Government Area,78722,124668,187200,→
514,Baruten,Local Government Area,110576,206679,310300,→
515,Edu,Local Government Area,138735,201642,302700,→
516,Ekiti,Local Government Area,...,54399,81700,→
517,Ifelodun,Local Government Area,155551,204975,307700,→
518,Ilorin East,Local Government Area,...,207462,311500,→
519,Ilorin South,Local Government Area,...,209251,314100,→
520,Ilorin West,Local Government Area,205567,365221,548300,→
521,Irepodun,Local Government Area,...,147594,221600,→
522,Isin,Local Government Area,...,59481,89300,→
523,Kaiama,Local Government Area,43165,124015,186200,→
524,Moro,Local Government Area,86939,108715,163200,→
525,Offa,Local Government Area,74924,88975,133600,→
526,Oke-Ero,Local Government Area,...,56970,85500,→
527,Oyun,Local Government Area,56006,94454,141800,→
528,Pategi,Local Government Area,...,110852,166400,→
529,Lagos,State,5725116,9113605,13491800,→
530,Agege,Local Government Area,417981,461743,683600,→
531,Ajeromi-Ifelodun,Local Government Area,593561,687316,1017500,→
532,Alimosho,Local Government Area,430890,1319571,1953500,→
533,Amuwo-Odofin,Local Government Area,225823,328975,487000,→
