,0,1,2,3,4,5
308,Belimour,Commune,بليمور,"10,301","11,019",
309,Ben Daoud,Commune,بن داود,"13,472","11,632",
310,Bir Kasdali,Commune,بئر قصدالي,"12,622","14,768",
311,Bordj Bou Arreridj,Province Capital,برج بوعريرج,"134,666","168,346",
312,Bordj Ghedir,Commune,برج غدير,"23,289","26,042",
313,Bordj Zemoura,Commune,برج زمورة,"11,726","10,296",
314,Colla,Commune,قلة,"7,963","6,123",
315,Djaafra,Commune,جعافرة,"9,699","7,998",
316,El Ach,Commune,العش,"16,108","17,140",
317,El Achir,Commune,العشير,"18,149","23,101",
318,El Anceur,Commune,العنصر,"11,170","14,739",
319,El Hamadia,Commune,الحمادية,"20,635","24,949",
320,El Main,Commune,إلماين,"6,256","6,237",
321,El M'hir,Commune,المهير,"15,160","17,492",
322,Ghilassa,Commune,الغسالة,"10,959","11,044",
323,Haraza,Commune,الحرازة,"5,707","5,569",
324,Hasnaoua,Commune,حسناوة,"18,358","19,485",
325,Khelil,Commune,خليل,"23,537","26,037",
326,Ksour,Commune,القصور,"12,540","11,814",
327,Mansoura,Commune,منصورة,"19,979","21,280",
328,Medjana,Commune,مجانة,"16,112","22,402",
329,Ouled Brahim,Commune,أولاد براهم,"7,348","7,874",
330,Ouled Dahmane,Commune,أولاد دحمان,"14,777","16,501",
331,Ouled Sidi Brahim,Commune,ولاد سيدي براهيم,"2,648","2,705",
332,Rabta,Commune,الرابطة,"10,529","11,012",
333,Ras El Oued,Commune,راس الواد,"42,345","51,482",
334,Sidi Embarek,Commune,سيدي مبارك,"10,281","11,641",
335,Taglait,Commune,تقلايت,"5,042","5,008",
336,Tassameurt,Commune,تسمارت,"5,269","4,134",
337,Tefreg,Commune,تفرق,"1,991","2,164",
338,Teniet En Nasr,Commune,ثنية النصر,"6,808","5,775",
339,Tixter,Commune,تقصطر,"9,493","10,190",
340,Bouira,Province,البويرة,"629,560","695,583",
341,Aghbalou,Commune,أغبالو,"19,530","19,517",
342,Ahl El Ksar,Commune,أهل القصر,"12,315","13,354",
343,Aïn Bessem,Commune,عين بسام,"36,830","42,635",
344,Aïn El Hadjar,Commune,عين الحجار,"7,988","9,260",
