,0,1,2,3,4,5,6
270,El Hamma du Jérid [ ← Degache ],Delegation,حامة الجريد,"6,882","6,953","7,171",
271,Hazoua,Delegation,حزوة,"4,162","4,700","5,264",
272,Nefta,Delegation,نفطة,"20,544","21,731","22,692",
273,Tamerza,Delegation,تمغزة,"6,362","6,516","6,635",
274,Tozeur,Delegation,توزر,"39,862","46,422","51,159",
275,Tunis,Governorate,تونس,"983,861","1,056,247","1,075,837",
276,Bab El Bhar,Delegation,باب البحر,"39,806","36,210","31,642",
277,Bab Souika,Delegation,باب سويقة,"33,284","29,185","24,263",
278,Carthage,Delegation,قرطاج,"20,715","24,216","26,452",
279,Cité El Khadra,Delegation,حي الخضراء,"36,818","35,173","31,979",
280,Djebel Jelloud [ Djebel Djelloud ],Delegation,جبل الجلود,"26,490","23,638","19,962",
281,El Hraïria,Delegation,الحرائرية,"96,245","110,184","119,274",
282,El Kabaria,Delegation,الكبارية,"81,261","86,024","85,864",
283,El Menzah,Delegation,المنزه,"43,320","41,830","39,249",
284,El Omrane,Delegation,العمران,"40,801","42,208","41,865",
285,El Omrane Supérieur,Delegation,العمران الاعلى,"62,138","55,513","48,018",
286,El Ouardia,Delegation,الوردية,"33,734","32,147","29,325",
287,Ettahrir,Delegation,التحرير,"21,956","21,709","20,579",
288,Ezzouhour,Delegation,الزهور,"40,434","40,728","39,951",
289,La Goulette,Delegation,حلق الوادي,"28,407","45,711","59,790",
290,La Marsa,Delegation,المرسى,"77,890","92,987","100,715",
291,Le Bardo,Delegation,باردو,"70,244","71,961","71,232",
292,Le Kram,Delegation,الكرم,"58,152","74,132","86,846",
293,Medina,Delegation,المدينة,"26,703","21,400","16,788",
294,Séjoumi [ Sijoumi ],Delegation,السيجومي,"36,171","33,870","29,709",
295,Sidi El Béchir,Delegation,سيدي البشير,"29,911","27,749","24,090",
296,Sidi Hassine,Delegation,سيدي حسين,"79,381","109,672","128,240",
297,Zaghouan,Governorate,زغوان,"160,963","176,945","190,391",
298,Bir Mcherga,Delegation,بئر مشارقة,"21,508","24,387","26,505",
299,El Fahs,Delegation,الفحص,"43,678","46,449","49,281",
300,Nadhour,Delegation,الناظور,"28,550","30,366","32,358",
301,Saouaf,Delegation,صواف,"12,095","12,681","13,284",
302,Zaghouan,Delegation,زغوان,"34,367","38,445","41,609",
303,Zriba,Delegation,الزريبة,"20,765","24,617","27,355",
304,Tunisie [ Tunisia ],Republic,تونس,"9,910,872","10,982,754","11,803,588",
