,Name,Status,Native,PopulationCensus2004-04-28,PopulationCensus2014-04-23,PopulationEstimate2022-01-01,Unnamed: 6
216,El Masdour,Municipality,المسدور,3876,4705,5185,→
217,Ghnada,Municipality,غنادة,4597,5068,5348,→
218,Jemmal,Municipality,جمال,41786,50275,54989,→
219,Khniss,Municipality,خنيس,...,11229,12824,→
220,Ksar Hellal,Municipality,قصر هلال,39991,49376,55119,→
221,Ksibet El Médiouni,Municipality,قصيبة المديوني,10529,13082,14412,→
222,Lamta,Municipality,لمطة,5408,5790,6092,→
223,Menzel Ennour,Municipality,منزل نور,10106,11772,12972,→
224,Menzel Fersi,Municipality,منزل فارسي,3048,3603,3941,→
225,Menzel Hayet,Municipality,منزل حياة,9978,12952,14344,→
226,Menzel Kamel,Municipality,منزل كامل,7882,8432,9223,→
227,Moknine,Municipality,المكنين,48389,57111,62465,→
228,Monastir,Municipality,المنستير,71546,93306,106556,→
229,Ouerdanine,Municipality,الوردانين,18852,21814,23579,→
230,Sahline Moôtmar,Municipality,الساحلين معتمر,15073,18996,21418,→
231,Sayada,Municipality,صيادة,12708,12962,13637,→
232,Sidi Ameur,Municipality,سيدي عامر,6726,8453,9531,→
233,Sidi Bennour,Municipality,سيدي بنور,3984,4520,4944,→
234,Téboulba,Municipality,طبلبة,31154,37485,41508,→
235,Touza,Municipality,طوزة,6025,7236,7972,→
236,Zaouiet Kontoch,Municipality,زاوية قنطش,5604,6713,7342,→
237,Zéramdine,Municipality,زرمدين,15969,16781,18585,→
238,Nabeul,Governorate,نابل,693890,787920,868821,→
239,Azmour,Municipality,أزمور,7336,7499,8032,→
240,Béni Khalled,Municipality,بني خلاد,22856,26135,28353,→
241,Béni Khiar,Municipality,بني خيار,20673,26494,29872,→
242,Bou Argoub,Municipality,بوعرقوب,27846,30942,33467,→
243,Chrifet - Boucharray,Municipality,الشريفات بوشراي,9235,12210,14449,→
244,Dar Allouch,Municipality,دار علوش,5982,6182,6653,→
245,Dar Châabane El Fehri,Municipality,دار شعبان الفهري,39477,46781,52122,→
246,El Haouaria,Municipality,الهوارية,25267,25995,27379,→
247,El Maâmoura,Municipality,المعمورة,6948,8140,9178,→
248,El Mida,Municipality,الميدة,23667,26995,29553,→
249,Fondouk Jedid - Seltene,Municipality,فندق الجديد - سلتان,18330,23471,26605,→
250,Grombalia,Municipality,قرمبالية,37159,44004,49879,→
251,Hammamet,Municipality,الحمامات,72686,83633,90440,→
252,Hammam Ghezèze,Municipality,حمام الأغزاز,8342,9545,10272,→
253,Kélibia,Municipality,قليبية,46312,50992,54614,→
